name_ru,name_uz_latin,name_uz_cyrillic
Станки с ЧПУ,CPU boshqaruvli stanoklar,ЧПУ бошқарувли станоклар
Универсальные станки,Universal stanoklar,Универсал станоклар
Сварочное оборудование,Payvandlash uskunalari,Пайвандлаш ускуналари
Ручной инструмент,Qo'l asboblari,Қўл асбоблари
Измерительный инструмент,O'lchov asboblari,Ўлчов асбоблари
Запчасти для станков,Stanoklar uchun ehtiyot qismlar,Станоклар учун эҳтиёт қисмлар
Расходные материалы,Sarf materiallari,Сарф материаллари
Прочее оборудование,Boshqa uskunalar,Бошқа ускуналар
